Variables,Values,Site,Param_means,Param_vars,Param_sd
Salinity,34.66190183,BP,34.66190183,NA,NA
Salinity,34.66273617,BP,34.66273617,NA,NA
Salinity,34.66607353,BP,34.66607353,0,0
Salinity,34.67149674,BP,34.67149674,NA,NA
Silicate,1.03,W,1.03,0,0
Silicate,1.09,BP,1.09,NA,NA
Silicate,1.16,W,1.16,NA,NA
Silicate,1.22,BP,1.22,0,0
Silicate,1.3,BP,1.3,NA,NA
Silicate,1.32,BP,1.32,NA,NA
Silicate,1.33,BP,1.33,NA,NA
Silicate,1.36,W,1.36,NA,NA
Silicate,1.39,BP,1.39,0,0
Silicate,1.4,W,1.4,0,0
Silicate,1.44,W,1.44,NA,NA
Silicate,1.46,W,1.46,NA,NA
Silicate,1.51,BP,1.51,0,0
Silicate,1.51,W,1.51,NA,NA
Silicate,1.54,W,1.54,0,0
Silicate,1.55,W,1.55,0,0
Silicate,1.58,BP,1.58,NA,NA
Silicate,1.58,W,1.58,0,0
Silicate,1.59,W,1.59,NA,NA
Silicate,1.61,W,1.61,NA,NA
Silicate,1.63,W,1.63,0,0
Silicate,1.64,W,1.64,NA,NA
Silicate,1.65,W,1.65,0,0
Silicate,1.66,BP,1.66,NA,NA
Silicate,1.66,W,1.66,NA,NA
Silicate,1.68,W,1.68,NA,NA
Silicate,1.69,W,1.69,NA,NA
Silicate,1.71,W,1.71,NA,NA
Silicate,1.72,BP,1.72,NA,NA
Silicate,1.72,W,1.72,NA,NA
Silicate,1.75,BP,1.75,NA,NA
Silicate,1.75,W,1.75,NA,NA
Silicate,1.76,W,1.76,NA,NA
Silicate,1.77,BP,1.77,NA,NA
Silicate,1.78,BP,1.78,NA,NA
Silicate,1.78,W,1.78,0,0
Silicate,1.79,W,1.79,NA,NA
Silicate,1.81,W,1.81,NA,NA
Silicate,1.82,BP,1.82,NA,NA
Silicate,1.82,W,1.82,NA,NA
Silicate,1.85,BP,1.85,0,0
Silicate,1.86,BP,1.86,NA,NA
Silicate,1.86,W,1.86,NA,NA
Silicate,1.87,W,1.87,0,0
Silicate,1.88,BP,1.88,NA,NA
Silicate,1.88,W,1.88,NA,NA
Silicate,1.9,W,1.9,0,0
Silicate,1.91,BP,1.91,0,0
Silicate,1.91,W,1.91,NA,NA
Silicate,1.92,BP,1.92,NA,NA
Silicate,1.92,W,1.92,NA,NA
Silicate,1.93,BP,1.93,NA,NA
Silicate,1.93,W,1.93,NA,NA
Silicate,1.96,BP,1.96,NA,NA
Silicate,1.97,BP,1.97,NA,NA
Silicate,1.97,W,1.97,NA,NA
Silicate,1.98,BP,1.98,NA,NA
Silicate,1.99,BP,1.99,NA,NA
Silicate,2,W,2,NA,NA
Silicate,2.03,BP,2.03,NA,NA
Silicate,2.03,W,2.03,NA,NA
Silicate,2.04,BP,2.04,0,0
Silicate,2.04,W,2.04,0,0
Silicate,2.05,BP,2.05,NA,NA
Silicate,2.05,W,2.05,NA,NA
Silicate,2.06,BP,2.06,NA,NA
Silicate,2.07,BP,2.07,0,0
Silicate,2.07,W,2.07,0,0
Silicate,2.11,W,2.11,NA,NA
Silicate,2.12,W,2.12,NA,NA
Silicate,2.18,BP,2.18,NA,NA
Silicate,2.18,W,2.18,NA,NA
Silicate,2.19,BP,2.19,NA,NA
Silicate,2.2,BP,2.2,NA,NA
Silicate,2.2,W,2.2,0,0
Silicate,2.22,BP,2.22,0,0
Silicate,2.24,BP,2.24,NA,NA
Silicate,2.27,W,2.27,NA,NA
Silicate,2.31,BP,2.31,NA,NA
Silicate,2.33,BP,2.33,0,0
Silicate,2.34,W,2.34,0,0
Silicate,2.35,W,2.35,0,0
Silicate,2.36,BP,2.36,0,0
Silicate,2.38,W,2.38,NA,NA
Silicate,2.39,BP,2.39,NA,NA
Silicate,2.39,W,2.39,NA,NA
Silicate,2.4,W,2.4,NA,NA
Silicate,2.41,BP,2.41,NA,NA
Silicate,2.43,BP,2.43,0,0
Silicate,2.45,BP,2.45,NA,NA
Silicate,2.49,W,2.49,NA,NA
Silicate,2.51,W,2.51,NA,NA
Silicate,2.53,BP,2.53,0,0
Silicate,2.54,W,2.54,NA,NA
Silicate,2.55,BP,2.55,NA,NA
Silicate,2.56,BP,2.56,NA,NA
Silicate,2.6,W,2.6,NA,NA
Silicate,2.63,BP,2.63,NA,NA
Silicate,2.63,W,2.63,NA,NA
Silicate,2.64,BP,2.64,NA,NA
Silicate,2.66,W,2.66,NA,NA
Silicate,2.73,BP,2.73,NA,NA
Silicate,2.74,W,2.74,NA,NA
Silicate,2.75,W,2.75,NA,NA
Silicate,2.82,BP,2.82,NA,NA
Silicate,2.82,W,2.82,NA,NA
Silicate,2.83,BP,2.83,NA,NA
Silicate,2.84,BP,2.84,NA,NA
Silicate,2.84,W,2.84,NA,NA
Silicate,2.91,W,2.91,NA,NA
Silicate,2.99,W,2.99,NA,NA
Silicate,3.01,W,3.01,NA,NA
Silicate,3.02,BP,3.02,NA,NA
Silicate,3.06,W,3.06,NA,NA
Silicate,3.12,W,3.12,NA,NA
Silicate,3.14,W,3.14,NA,NA
Silicate,3.16,BP,3.16,NA,NA
Silicate,3.17,W,3.17,NA,NA
Silicate,3.18,BP,3.18,NA,NA
Silicate,3.18,W,3.18,0,0
Silicate,3.2,BP,3.2,NA,NA
Silicate,3.22,W,3.22,NA,NA
Silicate,3.25,W,3.25,NA,NA
Silicate,3.26,W,3.26,NA,NA
Silicate,3.28,BP,3.28,NA,NA
Silicate,3.31,BP,3.31,NA,NA
Silicate,3.35,W,3.35,NA,NA
Silicate,3.41,W,3.41,NA,NA
Silicate,3.46,W,3.46,NA,NA
Silicate,3.53,W,3.53,NA,NA
Silicate,3.54,BP,3.54,NA,NA
Silicate,3.55,W,3.55,NA,NA
Silicate,3.56,BP,3.56,NA,NA
Silicate,3.56,W,3.56,NA,NA
Silicate,3.61,W,3.61,NA,NA
Silicate,3.72,W,3.72,NA,NA
Silicate,3.75,BP,3.75,NA,NA
Silicate,3.76,W,3.76,NA,NA
Silicate,3.83,W,3.83,NA,NA
Silicate,3.95,W,3.95,NA,NA
Silicate,3.97,BP,3.97,NA,NA
Silicate,3.97,W,3.97,NA,NA
Silicate,3.99,W,3.99,NA,NA
Silicate,4.04,W,4.04,NA,NA
Silicate,4.05,W,4.05,NA,NA
Silicate,4.12,BP,4.12,NA,NA
Silicate,4.18,W,4.18,NA,NA
Silicate,4.2,BP,4.2,NA,NA
Silicate,4.2,W,4.2,NA,NA
Silicate,4.23,W,4.23,NA,NA
Silicate,4.37,BP,4.37,NA,NA
Silicate,4.38,W,4.38,NA,NA
Silicate,4.39,W,4.39,NA,NA
Silicate,4.46,W,4.46,NA,NA
Silicate,4.48,W,4.48,NA,NA
Silicate,4.56,W,4.56,NA,NA
Silicate,4.66,W,4.66,NA,NA
Silicate,4.67,W,4.67,NA,NA
Silicate,4.96,BP,4.96,NA,NA
Silicate,5.04,W,5.04,NA,NA
Silicate,5.21,W,5.21,NA,NA
Silicate,5.29,W,5.29,NA,NA
Silicate,5.4,W,5.4,NA,NA
Silicate,5.43,W,5.43,NA,NA
Silicate,5.5,W,5.5,NA,NA
Silicate,5.54,W,5.54,NA,NA
Silicate,5.78,W,5.78,NA,NA
Silicate,5.81,W,5.81,NA,NA
Silicate,5.92,W,5.92,NA,NA
Silicate,5.94,BP,5.94,NA,NA
Silicate,6.05,BP,6.05,NA,NA
Silicate,6.05,W,6.05,NA,NA
Silicate,6.44,BP,6.44,NA,NA
Silicate,6.46,BP,6.46,NA,NA
Silicate,6.55,W,6.55,NA,NA
Silicate,6.58,W,6.58,NA,NA
Silicate,6.85,W,6.85,NA,NA
Silicate,7.18,W,7.18,NA,NA
Silicate,7.31,W,7.31,NA,NA
Silicate,7.47,BP,7.47,NA,NA
Silicate,7.5,W,7.5,NA,NA
Silicate,7.59,W,7.59,NA,NA
Silicate,7.68,W,7.68,NA,NA
Silicate,7.71,BP,7.71,NA,NA
Silicate,7.75,BP,7.75,NA,NA
Silicate,8.25,BP,8.25,NA,NA
Silicate,8.86,BP,8.86,NA,NA
Silicate,8.9,BP,8.9,NA,NA
Silicate,8.9,W,8.9,NA,NA
Silicate,9.64,W,9.64,NA,NA
Silicate,9.98,BP,9.98,NA,NA
Silicate,10.27,BP,10.27,NA,NA
Silicate,10.51,W,10.51,NA,NA
Silicate,10.55,BP,10.55,NA,NA
Silicate,10.67,BP,10.67,NA,NA
Silicate,10.78,W,10.78,NA,NA
Silicate,10.97,BP,10.97,NA,NA
Silicate,10.99,BP,10.99,NA,NA
Silicate,11,BP,11,NA,NA
Silicate,11.49,BP,11.49,NA,NA
Silicate,12.08,BP,12.08,NA,NA
Silicate,12.14,BP,12.14,NA,NA
Silicate,12.98,BP,12.98,NA,NA
Silicate,13.33,BP,13.33,NA,NA
Silicate,14.11,W,14.11,NA,NA
Silicate,14.43,BP,14.43,NA,NA
Silicate,14.52,BP,14.52,NA,NA
Silicate,14.66,BP,14.66,NA,NA
Silicate,14.76,BP,14.76,NA,NA
Silicate,14.77,BP,14.77,NA,NA
Silicate,15.04,W,15.04,NA,NA
Silicate,15.11,BP,15.11,NA,NA
Silicate,15.12,BP,15.12,NA,NA
Silicate,15.13,BP,15.13,NA,NA
Silicate,15.37,W,15.37,NA,NA
Silicate,16.49,BP,16.49,NA,NA
Silicate,16.59,BP,16.59,NA,NA
Silicate,17.34,BP,17.34,NA,NA
Silicate,17.53,W,17.53,NA,NA
Silicate,17.99,BP,17.99,NA,NA
Silicate,18.34,BP,18.34,NA,NA
Silicate,19.7,BP,19.7,NA,NA
Silicate,20.03,BP,20.03,NA,NA
Silicate,20.77,W,20.77,NA,NA
Silicate,20.92,BP,20.92,NA,NA
Silicate,21.49,W,21.49,NA,NA
Silicate,21.88,BP,21.88,NA,NA
Silicate,22.89,BP,22.89,NA,NA
Silicate,23.06,BP,23.06,NA,NA
Silicate,23.1,W,23.1,NA,NA
Silicate,23.45,BP,23.45,NA,NA
Silicate,23.68,W,23.68,NA,NA
Silicate,23.98,BP,23.98,NA,NA
Silicate,24.81,BP,24.81,NA,NA
Silicate,25.7,BP,25.7,NA,NA
Silicate,25.78,BP,25.78,NA,NA
Silicate,26.03,BP,26.03,NA,NA
Silicate,29.85,BP,29.85,NA,NA
Silicate,31.21,BP,31.21,NA,NA
Silicate,31.32,BP,31.32,NA,NA
Silicate,31.81,BP,31.81,NA,NA
Silicate,32.15,BP,32.15,NA,NA
Silicate,32.73,BP,32.73,NA,NA
Silicate,34.59,W,34.59,NA,NA
Silicate,35.44,BP,35.44,NA,NA
Silicate,35.5,W,35.5,NA,NA
Silicate,35.53,BP,35.53,NA,NA
Silicate,37.91,BP,37.91,NA,NA
Silicate,38.33,BP,38.33,NA,NA
Silicate,38.75,BP,38.75,NA,NA
Silicate,39.87,BP,39.87,NA,NA
Silicate,42.32,W,42.32,NA,NA
Silicate,42.42,BP,42.42,NA,NA
Silicate,43.65,BP,43.65,NA,NA
Silicate,43.85,BP,43.85,NA,NA
Silicate,44.32,W,44.32,NA,NA
Silicate,44.43,BP,44.43,NA,NA
Silicate,44.66,W,44.66,NA,NA
Silicate,45.05,BP,45.05,NA,NA
Silicate,45.37,BP,45.37,NA,NA
Silicate,45.88,W,45.88,NA,NA
Silicate,46.94,BP,46.94,NA,NA
Silicate,47.59,BP,47.59,NA,NA
Silicate,48.79,BP,48.79,NA,NA
Silicate,49.1,BP,49.1,NA,NA
Silicate,49.31,BP,49.31,NA,NA
Silicate,51.67,W,51.67,NA,NA
Silicate,52.81,W,52.81,NA,NA
Silicate,53.41,W,53.41,NA,NA
Silicate,56.14,BP,56.14,NA,NA
Silicate,56.31,W,56.31,NA,NA
Silicate,58.51,W,58.51,NA,NA
Silicate,68.11,BP,68.11,NA,NA
Silicate,72.32,W,72.32,NA,NA
Silicate,77.51,W,77.51,NA,NA
Silicate,78.7,BP,78.7,NA,NA
Silicate,85.1,BP,85.1,NA,NA
Silicate,92.59,W,92.59,NA,NA
Silicate,94.25,W,94.25,NA,NA
Silicate,113.44,BP,113.44,NA,NA
Silicate,113.59,W,113.59,NA,NA
Silicate,126.47,W,126.47,NA,NA
Silicate,129.12,BP,129.12,NA,NA
Silicate,136.95,BP,136.95,NA,NA
Silicate,143.6,W,143.6,NA,NA
Silicate,151.37,W,151.37,NA,NA
Silicate,151.56,W,151.56,NA,NA
Silicate,157.93,W,157.93,NA,NA
Silicate,198.43,W,198.43,NA,NA
TA,2005.770651,BP,2005.770651,NA,NA
TA,2129.366609,W,2129.366609,NA,NA
TA,2133.421493,W,2133.421493,NA,NA
TA,2145.827701,W,2145.827701,NA,NA
TA,2151.825559,W,2151.825559,NA,NA
TA,2155.302454,W,2155.302454,NA,NA
TA,2158.086772,BP,2158.086772,NA,NA
TA,2161.48229,W,2161.48229,NA,NA
TA,2180.930839,W,2180.930839,NA,NA
TA,2186.695385,BP,2186.695385,NA,NA
TA,2189.086709,BP,2189.086709,NA,NA
TA,2189.458388,W,2189.458388,NA,NA
TA,2192.279963,BP,2192.279963,NA,NA
TA,2194.570047,BP,2194.570047,NA,NA
TA,2199.619975,W,2199.619975,NA,NA
TA,2204.133771,W,2204.133771,NA,NA
TA,2205.1881,W,2205.1881,NA,NA
TA,2206.974224,W,2206.974224,NA,NA
TA,2207.789729,W,2207.789729,NA,NA
TA,2212.273427,W,2212.273427,NA,NA
TA,2212.963581,W,2212.963581,NA,NA
TA,2213.643995,W,2213.643995,NA,NA
TA,2215.231211,BP,2215.231211,NA,NA
TA,2216.418806,W,2216.418806,NA,NA
TA,2216.7581,W,2216.7581,NA,NA
TA,2219.095298,W,2219.095298,NA,NA
TA,2219.513637,W,2219.513637,NA,NA
TA,2219.583262,W,2219.583262,NA,NA
TA,2219.660067,BP,2219.660067,NA,NA
TA,2220.053441,W,2220.053441,NA,NA
TA,2220.335875,W,2220.335875,NA,NA
TA,2220.377584,W,2220.377584,NA,NA
TA,2220.585898,BP,2220.585898,NA,NA
TA,2220.656631,BP,2220.656631,NA,NA
TA,2221.334924,BP,2221.334924,NA,NA
TA,2221.347741,BP,2221.347741,NA,NA
TA,2221.496044,W,2221.496044,NA,NA
TA,2225.157422,W,2225.157422,NA,NA
TA,2226.03246,BP,2226.03246,NA,NA
TA,2226.132597,W,2226.132597,NA,NA
TA,2227.731898,W,2227.731898,NA,NA
TA,2227.978151,W,2227.978151,NA,NA
TA,2228.052265,BP,2228.052265,NA,NA
TA,2231.540629,W,2231.540629,NA,NA
TA,2231.773561,W,2231.773561,NA,NA
TA,2231.928785,W,2231.928785,NA,NA
TA,2232.993566,BP,2232.993566,NA,NA
TA,2233.180943,BP,2233.180943,NA,NA
TA,2233.751992,W,2233.751992,NA,NA
TA,2234.133732,BP,2234.133732,NA,NA
TA,2234.152534,W,2234.152534,NA,NA
TA,2234.700866,W,2234.700866,NA,NA
TA,2235.314033,W,2235.314033,NA,NA
TA,2235.382367,BP,2235.382367,NA,NA
TA,2235.94711,W,2235.94711,NA,NA
TA,2236.163316,BP,2236.163316,NA,NA
TA,2236.573255,BP,2236.573255,NA,NA
TA,2237.131953,W,2237.131953,NA,NA
TA,2237.264392,BP,2237.264392,NA,NA
TA,2237.61632,BP,2237.61632,NA,NA
TA,2237.72937,W,2237.72937,NA,NA
TA,2238.277969,BP,2238.277969,NA,NA
TA,2238.532837,W,2238.532837,NA,NA
TA,2238.606606,W,2238.606606,NA,NA
TA,2238.72427,W,2238.72427,NA,NA
TA,2239.283896,W,2239.283896,NA,NA
TA,2239.324994,W,2239.324994,NA,NA
TA,2240.128003,BP,2240.128003,NA,NA
TA,2240.160568,BP,2240.160568,NA,NA
TA,2240.192809,BP,2240.192809,NA,NA
TA,2240.358874,W,2240.358874,NA,NA
TA,2240.714341,W,2240.714341,NA,NA
TA,2240.889093,W,2240.889093,NA,NA
TA,2240.933924,BP,2240.933924,NA,NA
TA,2241.211157,W,2241.211157,NA,NA
TA,2241.388236,BP,2241.388236,NA,NA
TA,2241.769351,BP,2241.769351,NA,NA
TA,2242.012856,W,2242.012856,NA,NA
TA,2242.025661,BP,2242.025661,NA,NA
TA,2242.05194,W,2242.05194,NA,NA
TA,2242.367666,BP,2242.367666,NA,NA
TA,2242.445381,W,2242.445381,NA,NA
TA,2242.669672,BP,2242.669672,NA,NA
TA,2242.801505,BP,2242.801505,NA,NA
TA,2243.444413,BP,2243.444413,NA,NA
TA,2243.54534,BP,2243.54534,NA,NA
TA,2243.563576,BP,2243.563576,NA,NA
TA,2243.840258,BP,2243.840258,NA,NA
TA,2243.843064,W,2243.843064,NA,NA
TA,2244.10175,W,2244.10175,NA,NA
TA,2244.213993,W,2244.213993,NA,NA
TA,2244.502057,W,2244.502057,NA,NA
TA,2244.596967,W,2244.596967,NA,NA
TA,2244.687113,W,2244.687113,NA,NA
TA,2245.104438,W,2245.104438,NA,NA
TA,2245.596857,W,2245.596857,NA,NA
TA,2245.851148,W,2245.851148,NA,NA
TA,2245.963283,W,2245.963283,NA,NA
TA,2246.246271,BP,2246.246271,NA,NA
TA,2246.641546,BP,2246.641546,NA,NA
TA,2246.937582,W,2246.937582,NA,NA
TA,2247.179605,W,2247.179605,NA,NA
TA,2247.418868,BP,2247.418868,NA,NA
TA,2247.471323,W,2247.471323,NA,NA
TA,2247.691473,W,2247.691473,NA,NA
TA,2248.010876,W,2248.010876,NA,NA
TA,2248.230837,BP,2248.230837,NA,NA
TA,2248.438919,W,2248.438919,NA,NA
TA,2248.676797,W,2248.676797,NA,NA
TA,2248.792728,W,2248.792728,NA,NA
TA,2248.933606,BP,2248.933606,NA,NA
TA,2249.046991,BP,2249.046991,NA,NA
TA,2249.425308,BP,2249.425308,NA,NA
TA,2249.618001,W,2249.618001,NA,NA
TA,2249.646663,W,2249.646663,NA,NA
TA,2249.687868,BP,2249.687868,NA,NA
TA,2249.929778,W,2249.929778,NA,NA
TA,2250.3368,W,2250.3368,NA,NA
TA,2251.166265,BP,2251.166265,NA,NA
TA,2251.2056470000002,BP,2251.2056470000002,NA,NA
TA,2251.215074,BP,2251.215074,NA,NA
TA,2251.264292,W,2251.264292,NA,NA
TA,2251.863751,W,2251.863751,NA,NA
TA,2252.364904,W,2252.364904,NA,NA
TA,2252.612802,BP,2252.612802,NA,NA
TA,2253.270607,W,2253.270607,NA,NA
TA,2253.449673,W,2253.449673,NA,NA
TA,2253.612321,BP,2253.612321,NA,NA
TA,2254.218952,BP,2254.218952,NA,NA
TA,2254.568475,W,2254.568475,NA,NA
TA,2254.602485,W,2254.602485,NA,NA
TA,2254.674753,BP,2254.674753,NA,NA
TA,2254.795338,W,2254.795338,NA,NA
TA,2254.849699,W,2254.849699,NA,NA
TA,2254.998379,W,2254.998379,NA,NA
TA,2255.282957,W,2255.282957,NA,NA
TA,2255.300778,W,2255.300778,NA,NA
TA,2256.437492,W,2256.437492,NA,NA
TA,2256.83964,BP,2256.83964,NA,NA
TA,2257.036208,BP,2257.036208,NA,NA
TA,2257.163597,BP,2257.163597,NA,NA
TA,2257.264212,W,2257.264212,NA,NA
TA,2257.582582,W,2257.582582,NA,NA
TA,2257.603516,W,2257.603516,NA,NA
TA,2257.948452,BP,2257.948452,NA,NA
TA,2258.053746,W,2258.053746,NA,NA
TA,2258.364848,W,2258.364848,NA,NA
TA,2258.76146,W,2258.76146,NA,NA
TA,2258.85078,BP,2258.85078,NA,NA
TA,2258.936004,BP,2258.936004,NA,NA
TA,2259.329722,W,2259.329722,NA,NA
TA,2259.562288,W,2259.562288,NA,NA
TA,2259.577353,W,2259.577353,NA,NA
TA,2259.753937,W,2259.753937,NA,NA
TA,2260.144041,BP,2260.144041,NA,NA
TA,2260.179937,BP,2260.179937,NA,NA
TA,2260.206592,W,2260.206592,NA,NA
TA,2260.598828,W,2260.598828,NA,NA
TA,2261.428824,W,2261.428824,NA,NA
TA,2261.598973,BP,2261.598973,NA,NA
TA,2262.164351,BP,2262.164351,NA,NA
TA,2262.677419,W,2262.677419,NA,NA
TA,2263.320386,W,2263.320386,NA,NA
TA,2263.358534,W,2263.358534,NA,NA
TA,2263.395711,BP,2263.395711,NA,NA
TA,2263.444971,W,2263.444971,NA,NA
TA,2263.486124,W,2263.486124,NA,NA
TA,2263.5227,BP,2263.5227,NA,NA
TA,2263.827588,W,2263.827588,NA,NA
TA,2263.962936,BP,2263.962936,NA,NA
TA,2264.306252,W,2264.306252,NA,NA
TA,2264.320621,BP,2264.320621,NA,NA
TA,2264.343242,BP,2264.343242,NA,NA
TA,2264.357533,BP,2264.357533,NA,NA
TA,2264.389536,W,2264.389536,NA,NA
TA,2264.791301,BP,2264.791301,NA,NA
TA,2265.104985,W,2265.104985,NA,NA
TA,2265.18179,BP,2265.18179,NA,NA
TA,2265.354907,W,2265.354907,NA,NA
TA,2265.708995,BP,2265.708995,NA,NA
TA,2265.980562,BP,2265.980562,NA,NA
TA,2266.224599,BP,2266.224599,NA,NA
TA,2266.276492,BP,2266.276492,NA,NA
TA,2266.405711,W,2266.405711,NA,NA
TA,2266.414651,W,2266.414651,NA,NA
TA,2266.47176,W,2266.47176,NA,NA
TA,2266.715279,W,2266.715279,NA,NA
TA,2266.833129,W,2266.833129,NA,NA
TA,2266.862576,W,2266.862576,NA,NA
TA,2267.194268,BP,2267.194268,NA,NA
TA,2267.318516,BP,2267.318516,NA,NA
TA,2267.586066,BP,2267.586066,NA,NA
TA,2267.730322,BP,2267.730322,NA,NA
TA,2268.266354,W,2268.266354,NA,NA
TA,2268.317898,BP,2268.317898,NA,NA
TA,2268.419106,W,2268.419106,NA,NA
TA,2268.553037,W,2268.553037,NA,NA
TA,2268.841999,W,2268.841999,NA,NA
TA,2268.926038,BP,2268.926038,NA,NA
TA,2269.052036,BP,2269.052036,NA,NA
TA,2269.134251,W,2269.134251,NA,NA
TA,2269.68769,BP,2269.68769,NA,NA
TA,2270.034481,BP,2270.034481,NA,NA
TA,2270.401798,W,2270.401798,NA,NA
TA,2270.824438,W,2270.824438,NA,NA
TA,2270.886531,BP,2270.886531,NA,NA
TA,2271.308956,BP,2271.308956,NA,NA
TA,2272.001539,BP,2272.001539,NA,NA
TA,2272.158322,BP,2272.158322,NA,NA
TA,2272.39081,W,2272.39081,NA,NA
TA,2272.420358,BP,2272.420358,NA,NA
TA,2272.939258,BP,2272.939258,NA,NA
TA,2273.234331,W,2273.234331,NA,NA
TA,2273.407056,W,2273.407056,NA,NA
TA,2274.232202,BP,2274.232202,NA,NA
TA,2274.315854,W,2274.315854,NA,NA
TA,2274.630462,W,2274.630462,NA,NA
TA,2274.697509,W,2274.697509,NA,NA
TA,2275.301599,BP,2275.301599,NA,NA
TA,2275.456662,W,2275.456662,NA,NA
TA,2276.121447,BP,2276.121447,NA,NA
TA,2277.045233,W,2277.045233,NA,NA
TA,2277.28047,BP,2277.28047,NA,NA
TA,2277.477824,BP,2277.477824,NA,NA
TA,2278.298318,W,2278.298318,NA,NA
TA,2278.659129,W,2278.659129,NA,NA
TA,2278.998271,W,2278.998271,NA,NA
TA,2280.216101,BP,2280.216101,NA,NA
TA,2280.421802,BP,2280.421802,NA,NA
TA,2280.531534,BP,2280.531534,NA,NA
TA,2280.792107,W,2280.792107,NA,NA
TA,2280.920815,W,2280.920815,NA,NA
TA,2280.975035,BP,2280.975035,NA,NA
TA,2281.27459,BP,2281.27459,NA,NA
TA,2281.618209,W,2281.618209,NA,NA
TA,2281.690363,W,2281.690363,NA,NA
TA,2281.7078,W,2281.7078,NA,NA
TA,2282.497485,BP,2282.497485,NA,NA
TA,2283.21026,W,2283.21026,NA,NA
TA,2283.299873,BP,2283.299873,NA,NA
TA,2283.34633,BP,2283.34633,NA,NA
TA,2283.485901,W,2283.485901,NA,NA
TA,2283.721685,W,2283.721685,NA,NA
TA,2284.103997,W,2284.103997,NA,NA
TA,2284.136728,W,2284.136728,NA,NA
TA,2284.595236,BP,2284.595236,NA,NA
TA,2284.913361,W,2284.913361,NA,NA
TA,2286.930259,BP,2286.930259,NA,NA
TA,2287.415556,BP,2287.415556,NA,NA
TA,2287.435587,BP,2287.435587,NA,NA
TA,2287.455925,BP,2287.455925,NA,NA
TA,2287.935858,BP,2287.935858,NA,NA
TA,2288.464523,W,2288.464523,NA,NA
TA,2288.673354,W,2288.673354,NA,NA
