Label,Sample..,n,Family,LTU,Date,Cruise.Number,Site,Tow.Type,Tow..,Net..,depth_range_m,Preservative,ETP.Endemic.,Total Subsample,# Dissected
DG5C_M10_S23_1_546_Scopeloberyx malayanus,546,2,Melamphaidae,Scopeloberyx malayanus,2021-10-16,DG5C,CTA,Day,S23,1,1000-1500,ETOH 100,No,,
DG5C_M10_S23_2_574_Scopeloberyx malayanus,574,8,Melamphaidae,Scopeloberyx malayanus,2021-10-16,DG5C,CTA,Day,S23,2,700-1000,ETOH 100,No,,
DG5C_M10_S24_1_609_Scopeloberyx malayanus,609,2,Melamphaidae,Scopeloberyx malayanus,2021-10-17,DG5C,CTA,Night,S24,1,1000-1500,ETOH 100,CD,,
DG5C_M10_S24_2_639_Scopeloberyx malayanus,639,31,Melamphaidae,Scopeloberyx malayanus,2021-10-17,DG5C,CTA,Night,S24,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S25_1_692_Scopeloberyx malayanus,692,1,Melamphaidae,Scopeloberyx malayanus,2021-10-18,DG5C,CTA,Night,S25,1,1000-1500,ETOH 100,Yes,,
DG5C_M10_S25_2_703_Scopeloberyx malayanus,703,14,Melamphaidae,Scopeloberyx malayanus,2021-10-18,DG5C,CTA,Night,S25,2,700-1000,ETOH 100,CD,,
DG5C_M10_S27_1_781_Scopeloberyx malayanus,781,1,Melamphaidae,Scopeloberyx malayanus,2021-10-19,DG5C,CTA,Night,S27,1,1000-1500,ETOH 100,CD,,
DG5C_M10_S27_2_792_Scopeloberyx malayanus,792,1,Melamphaidae,Scopeloberyx malayanus,2021-10-19,DG5C,CTA,Night,S27,2,700-1000,ETOH 100,Yes,,
DG5B_M10_S1_1_3_Scopeloberyx malayanus,3,1,Melamphaidae,Scopeloberyx malayanus,2021-03-17,DG5B,PRZ,Day,S1,1,1000-1500,10% formalin,OMZ,,3
DG5B_M10_S1_1_3_Scopeloberyx malayanus,3,13,Melamphaidae,Scopeloberyx malayanus,2021-03-17,DG5B,PRZ,Day,S1,1,1000-1500,10% formalin,No,,
DG5B_M10_S1_2_26_Scopeloberyx malayanus,26,1,Melamphaidae,Scopeloberyx malayanus,2021-03-17,DG5B,PRZ,Day,S1,2,700-1000,10% formalin,No,,
DG5B_M10_S3_2_159_Scopeloberyx malayanus,159,1,Melamphaidae,Scopeloberyx malayanus,2021-03-21,DG5B,PRZ,Night,S3,2,700-1000,10% formalin,No,,
DG5B_M10_S4_1_211_Scopeloberyx malayanus,211,1,Melamphaidae,Scopeloberyx malayanus,2021-03-23,DG5B,PRZ,Night,S4,1,1000-1500,10% formalin,No,,
DG5B_M10_S5_1_288_Scopeloberyx malayanus,288,1,Melamphaidae,Scopeloberyx malayanus,2021-03-24,DG5B,PRZ,Night,S5,1,1000-1500,10% formalin,No,,
DG5B_M10_S5_1_288_Scopeloberyx malayanus,288,1,Melamphaidae,Scopeloberyx malayanus,2021-03-24,DG5B,PRZ,Night,S5,1,1000-1500,10% formalin,No,,
DG5B_M10_S5_2_316_Scopeloberyx malayanus,316,2,Melamphaidae,Scopeloberyx malayanus,2021-03-24,DG5B,PRZ,Night,S5,2,700-1000,10% formalin,No,,
DG5B_M10_S6_1_359_Scopeloberyx malayanus,359,6,Melamphaidae,Scopeloberyx malayanus,2021-03-27,DG5B,PRZ,Day,S6,1,1000-1500,10% formalin,No,,2
DG5B_M10_S6_2_374_Scopeloberyx malayanus,374,1,Melamphaidae,Scopeloberyx malayanus,2021-03-27,DG5B,PRZ,Day,S6,2,700-1000,10% formalin,No,,
DG5B_M10_S13_1_840_Scopeloberyx malayanus,840,1,Melamphaidae,Scopeloberyx malayanus,2021-04-15,DG5B,PRZ,Day,S13,1,1000-1500,10% formalin,OMZ,,
DG5B_M10_S13_2_859_Scopeloberyx malayanus,859,51,Melamphaidae,Scopeloberyx malayanus,2021-04-15,DG5B,PRZ,Day,S13,2,700-1000,10% formalin,Maybe,,1
DG5C_M10_S14_1_6_Scopeloberyx malayanus,6,9,Melamphaidae,Scopeloberyx malayanus,2021-10-04,DG5C,PRZ,Night,S14,1,1000-1500,ETOH 100,No,,
DG5B_M10_S2_1_79_Scopeloberyx malayanus,79,4,Melamphaidae,Scopeloberyx malayanus,2021-03-18,DG5B,PRZ,Day,S2,1,1000-1500,ETOH 100,No,,
DG5C_M10_S15_1_80_Scopeloberyx malayanus,80,5,Melamphaidae,Scopeloberyx malayanus,2021-10-05,DG5C,PRZ,Night,S15,1,1000-1500,ETOH 100,No,,
DG5B_M10_S2_2_102_Scopeloberyx malayanus,102,2,Melamphaidae,Scopeloberyx malayanus,2021-03-18,DG5B,PRZ,Day,S2,2,700-1000,ETOH 100,No,,
DG5C_M10_S16_1_133_Scopeloberyx malayanus,133,3,Melamphaidae,Scopeloberyx malayanus,2021-10-06,DG5C,PRZ,Night,S16,1,1000-1500,ETOH 100,No,,
DG5B_M10_S3_1_147_Scopeloberyx malayanus,147,4,Melamphaidae,Scopeloberyx malayanus,2021-03-21,DG5B,PRZ,Night,S3,1,1000-1500,ETOH 100,No,,
DG5C_M10_S17_1_215_Scopeloberyx malayanus,215,2,Melamphaidae,Scopeloberyx malayanus,2021-10-09,DG5C,PRZ,Day,S17,1,1000-1500,ETOH 100,No,,
DG5C_M10_S18_1_273_Scopeloberyx malayanus,273,2,Melamphaidae,Scopeloberyx malayanus,2021-10-10,DG5C,PRZ,Day,S18,1,1000-1500,ETOH 100,No,,
DG5C_M10_S19_1_332_Scopeloberyx malayanus,332,3,Melamphaidae,Scopeloberyx malayanus,2021-10-11,DG5C,PRZ,Day,S19,1,1000-1500,ETOH 100,No,,
DG5B_M10_S8_4_536_Scopelogadus bispinosus,536,19,Melamphaidae,Scopelogadus bispinosus,2021-04-02,DG5B,CTA,Night,S8,4,70-450,10% formalin,Maybe,,4
DG5B_M10_S9_4_597_Scopelogadus bispinosus,597,12,Melamphaidae,Scopelogadus bispinosus,2021-04-03,DG5B,CTA,Night,S9,4,70-450,10% formalin,Maybe,,2
DG5B_M10_S10_2_643_Scopelogadus bispinosus,643,3,Melamphaidae,Scopelogadus bispinosus,2021-04-07,DG5B,CTA,Day,S10,2,700-1000,10% formalin,Maybe,,
DG5B_M10_S10_3_659_Scopelogadus bispinosus,659,26,Melamphaidae,Scopelogadus bispinosus,2021-04-07,DG5B,CTA,Day,S10,3,450-700,10% formalin,Maybe,,10
DG5B_M10_S11_2_717_Scopelogadus bispinosus,717,2,Melamphaidae,Scopelogadus bispinosus,2021-04-08,DG5B,CTA,Day,S11,2,700-1000,10% formalin,Maybe,,
DG5B_M10_S12_2_785_Scopelogadus bispinosus,785,3,Melamphaidae,Scopelogadus bispinosus,2021-04-09,DG5B,CTA,Day,S12,2,700-1000,10% formalin,Maybe,,
DG5B_M10_S12_3_804_Scopelogadus bispinosus,804,19,Melamphaidae,Scopelogadus bispinosus,2021-04-09,DG5B,CTA,Day,S12,3,450-700,10% formalin,Maybe,,
DG5C_M10_S20_2_431_Scopelogadus bispinosus,431,18,Melamphaidae,Scopelogadus bispinosus,2021-10-14,DG5C,CTA,Day,S20,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S20_3_449_Scopelogadus bispinosus,449,8,Melamphaidae,Scopelogadus bispinosus,2021-10-14,DG5C,CTA,Day,S20,3,450-700,ETOH 100,Maybe,,
DG5C_M10_S20_4_461_Scopelogadus bispinosus,461,1,Melamphaidae,Scopelogadus bispinosus,2021-10-14,DG5C,CTA,Day,S20,4,70-450,ETOH 100,Maybe,,
DG5B_M10_S7_4_466_Scopelogadus bispinosus,466,1,Melamphaidae,Scopelogadus bispinosus,2021-03-31,DG5B,CTA,Night,S7,4,70-450,ETOH 100,CD,,
DG5C_M10_S22_2_499_Scopelogadus bispinosus,499,32,Melamphaidae,Scopelogadus bispinosus,2021-10-15,DG5C,CTA,Day,S22,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S22_3_519_Scopelogadus bispinosus,519,12,Melamphaidae,Scopelogadus bispinosus,2021-10-15,DG5C,CTA,Day,S22,3,450-700,ETOH 100,Maybe,,
DG5C_M10_S23_1_546_Scopelogadus bispinosus,546,1,Melamphaidae,Scopelogadus bispinosus,2021-10-16,DG5C,CTA,Day,S23,1,1000-1500,ETOH 100,Maybe,,
DG5C_M10_S23_2_574_Scopelogadus bispinosus,574,26,Melamphaidae,Scopelogadus bispinosus,2021-10-16,DG5C,CTA,Day,S23,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S23_3_588_Scopelogadus bispinosus,588,1,Melamphaidae,Scopelogadus bispinosus,2021-10-16,DG5C,CTA,Day,S23,3,450-700,ETOH 100,Yes,,
DG5C_M10_S24_1_609_Scopelogadus bispinosus,609,1,Melamphaidae,Scopelogadus bispinosus,2021-10-17,DG5C,CTA,Night,S24,1,1000-1500,ETOH 100,Maybe,,
DG5C_M10_S24_2_639_Scopelogadus bispinosus,639,27,Melamphaidae,Scopelogadus bispinosus,2021-10-17,DG5C,CTA,Night,S24,2,700-1000,ETOH 100,CD,,
DG5C_M10_S24_3_659_Scopelogadus bispinosus,659,4,Melamphaidae,Scopelogadus bispinosus,2021-10-17,DG5C,CTA,Night,S24,3,450-700,ETOH 100,Maybe,,
DG5C_M10_S24_5_677_Scopelogadus bispinosus,677,1,Melamphaidae,Scopelogadus bispinosus,2021-10-17,DG5C,CTA,Night,S24,5,0-70,ETOH 100,Maybe,,
DG5C_M10_S25_2_703_Scopelogadus bispinosus,703,21,Melamphaidae,Scopelogadus bispinosus,2021-10-18,DG5C,CTA,Night,S25,2,700-1000,ETOH 100,Maybe,,
DG5B_M10_S11_3_730_Scopelogadus bispinosus,730,11,Melamphaidae,Scopelogadus bispinosus,2021-04-08,DG5B,CTA,Day,S11,3,450-700,ETOH 100,Maybe,,
DG5C_M10_S25_4_737_Scopelogadus bispinosus,737,12,Melamphaidae,Scopelogadus bispinosus,2021-10-18,DG5C,CTA,Night,S25,4,70-450,ETOH 100,Maybe,,
DG5C_M10_S26_4_750_Scopelogadus bispinosus,750,6,Melamphaidae,Scopelogadus bispinosus,2021-10-19,DG5C,CTA,Night,S26,4,70-450,ETOH 100,Maybe,,
DG5C_M10_S27_1_781_Scopelogadus bispinosus,781,1,Melamphaidae,Scopelogadus bispinosus,2021-10-19,DG5C,CTA,Night,S27,1,1000-1500,ETOH 100,Maybe,,
DG5C_M10_S27_2_792_Scopelogadus bispinosus,792,24,Melamphaidae,Scopelogadus bispinosus,2021-10-19,DG5C,CTA,Night,S27,2,700-1000,ETOH 100,CD,,
DG5C_M10_S27_4_828_Scopelogadus bispinosus,828,5,Melamphaidae,Scopelogadus bispinosus,2021-10-19,DG5C,CTA,Night,S27,4,70-450,ETOH 100,Maybe,,
DG5C_M10_S27_5_839_Scopelogadus bispinosus,839,1,Melamphaidae,Scopelogadus bispinosus,2021-10-19,DG5C,CTA,Night,S27,5,0-70,ETOH 100,Maybe,,
DG5B_M10_S11_2_712_Scopelogadus bispinosus,712,2,Melamphaidae,Scopelogadus bispinosus,2021-04-08,DG5B,CTA,Day,S11,2,700-1000,,Maybe,,
DG5B_M10_S1_1_3_Scopelogadus bispinosus,3,1,Melamphaidae,Scopelogadus bispinosus,2021-03-17,DG5B,PRZ,Day,S1,1,1000-1500,10% formalin,Yes,,
DG5C_M10_S14_1_3_Scopelogadus bispinosus,3,1,Melamphaidae,Scopelogadus bispinosus,2021-10-04,DG5C,PRZ,Night,S14,1,1000-1500,10% formalin,Maybe,,
DG5C_M10_S15_5_123_Scopelogadus bispinosus,123,1,Melamphaidae,Scopelogadus bispinosus,2021-10-04,DG5C,PRZ,Night,S15,5,0-70,10% formalin,Maybe,,
DG5B_M10_S4_2_228_Scopelogadus bispinosus,228,4,Melamphaidae,Scopelogadus bispinosus,2021-03-23,DG5B,PRZ,Night,S4,2,700-1000,10% formalin,Maybe,,
DG5B_M10_S4_4_257_Scopelogadus bispinosus,257,5,Melamphaidae,Scopelogadus bispinosus,2021-03-23,DG5B,PRZ,Night,S4,4,70-450,10% formalin,CD,,9
DG5B_M10_S5_1_299_Scopelogadus bispinosus,299,1,Melamphaidae,Scopelogadus bispinosus,2021-03-24,DG5B,PRZ,Night,S5,1,1000-1500,10% formalin,CD,,19
DG5B_M10_S5_5_344_Scopelogadus bispinosus,344,1,Melamphaidae,Scopelogadus bispinosus,2021-03-24,DG5B,PRZ,Night,S5,5,0-70,10% formalin,Maybe,,
DG5B_M10_S6_2_374_Scopelogadus bispinosus,374,1,Melamphaidae,Scopelogadus bispinosus,2021-03-27,DG5B,PRZ,Day,S6,2,700-1000,10% formalin,Maybe,,
DG5B_M10_S6_3_393_Scopelogadus bispinosus,393,31,Melamphaidae,Scopelogadus bispinosus,2021-03-27,DG5B,PRZ,Day,S6,3,450-700,10% formalin,Maybe,,6
DG5B_M10_S13_2_859_Scopelogadus bispinosus,859,3,Melamphaidae,Scopelogadus bispinosus,2021-04-15,DG5B,PRZ,Day,S13,2,700-1000,10% formalin,CD,,
DG5B_M10_S13_3_879_Scopelogadus bispinosus,879,6,Melamphaidae,Scopelogadus bispinosus,2021-04-15,DG5B,PRZ,Day,S13,3,450-700,10% formalin,Maybe,,
DG5B_M10_S13_4_886_Scopelogadus bispinosus,886,2,Melamphaidae,Scopelogadus bispinosus,2021-04-15,DG5B,PRZ,Day,S13,4,70-450,10% formalin,Maybe,,
DG5C_M10_S14_2_24_Scopelogadus bispinosus,24,34,Melamphaidae,Scopelogadus bispinosus,2021-10-04,DG5C,PRZ,Night,S14,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S14_3_43_Scopelogadus bispinosus,43,1,Melamphaidae,Scopelogadus bispinosus,2021-10-04,DG5C,PRZ,Night,S14,3,450-700,ETOH 100,Maybe,,
DG5C_M10_S14_4_51_Scopelogadus bispinosus,51,12,Melamphaidae,Scopelogadus bispinosus,2021-10-04,DG5C,PRZ,Night,S14,4,70-450,ETOH 100,Maybe,,
DG5B_M10_S1_3_53_Scopelogadus bispinosus,53,15,Melamphaidae,Scopelogadus bispinosus,2021-03-17,DG5B,PRZ,Day,S1,3,450-700,ETOH 100,CD,,
DG5B_M10_S2_2_102_Scopelogadus bispinosus,102,1,Melamphaidae,Scopelogadus bispinosus,2021-03-18,DG5B,PRZ,Day,S2,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S15_2_103_Scopelogadus bispinosus,103,45,Melamphaidae,Scopelogadus bispinosus,2021-10-05,DG5C,PRZ,Night,S15,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S15_4_115_Scopelogadus bispinosus,115,15,Melamphaidae,Scopelogadus bispinosus,2021-10-04,DG5C,PRZ,Night,S15,4,70-450,ETOH 100,Maybe,,
DG5B_M10_S2_3_119_Scopelogadus bispinosus,119,1,Melamphaidae,Scopelogadus bispinosus,2021-03-18,DG5B,PRZ,Day,S2,3,450-700,ETOH 100,OMZ,,
DG5B_M10_S2_4_133_Scopelogadus bispinosus,133,1,Melamphaidae,Scopelogadus bispinosus,2021-03-18,DG5B,PRZ,Day,S2,4,70-450,ETOH 100,Maybe,,
DG5C_M10_S16_1_133_Scopelogadus bispinosus,133,1,Melamphaidae,Scopelogadus bispinosus,2021-10-06,DG5C,PRZ,Night,S16,1,1000-1500,ETOH 100,Maybe,,
DG5B_M10_S3_2_159_Scopelogadus bispinosus,159,7,Melamphaidae,Scopelogadus bispinosus,2021-03-21,DG5B,PRZ,Night,S3,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S16_2_162_Scopelogadus bispinosus,162,20,Melamphaidae,Scopelogadus bispinosus,2021-10-06,DG5C,PRZ,Night,S16,2,700-1000,ETOH 100,Maybe,,
DG5B_M10_S3_3_176_Scopelogadus bispinosus,176,2,Melamphaidae,Scopelogadus bispinosus,2021-03-21,DG5B,PRZ,Night,S3,3,450-700,ETOH 100,Maybe,,
DG5C_M10_S16_4_179_Scopelogadus bispinosus,179,2,Melamphaidae,Scopelogadus bispinosus,2021-10-06,DG5C,PRZ,Night,S16,4,70-450,ETOH 100,Maybe,,
DG5B_M10_S3_4_189_Scopelogadus bispinosus,189,10,Melamphaidae,Scopelogadus bispinosus,2021-03-21,DG5B,PRZ,Night,S3,4,70-450,ETOH 100,CD,,
DG5C_M10_S17_1_215_Scopelogadus bispinosus,215,1,Melamphaidae,Scopelogadus bispinosus,2021-10-09,DG5C,PRZ,Day,S17,1,1000-1500,ETOH 100,Maybe,,
DG5C_M10_S17_2_229_Scopelogadus bispinosus,229,42,Melamphaidae,Scopelogadus bispinosus,2021-10-09,DG5C,PRZ,Day,S17,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S17_3_243_Scopelogadus bispinosus,243,8,Melamphaidae,Scopelogadus bispinosus,2021-10-09,DG5C,PRZ,Day,S17,3,450-700,ETOH 100,Maybe,,
DG5C_M10_S18_1_273_Scopelogadus bispinosus,273,1,Melamphaidae,Scopelogadus bispinosus,2021-10-10,DG5C,PRZ,Day,S18,1,1000-1500,ETOH 100,Maybe,,
DG5C_M10_S18_2_302_Scopelogadus bispinosus,302,58,Melamphaidae,Scopelogadus bispinosus,2021-10-10,DG5C,PRZ,Day,S18,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S18_3_306_Scopelogadus bispinosus,306,2,Melamphaidae,Scopelogadus bispinosus,2021-10-10,DG5C,PRZ,Day,S18,3,450-700,ETOH 100,Maybe,,
DG5C_M10_S19_2_360_Scopelogadus bispinosus,360,57,Melamphaidae,Scopelogadus bispinosus,2021-10-11,DG5C,PRZ,Day,S19,2,700-1000,ETOH 100,Maybe,,
DG5C_M10_S19_3_367_Scopelogadus bispinosus,367,1,Melamphaidae,Scopelogadus bispinosus,2021-10-11,DG5C,PRZ,Day,S19,3,450-700,ETOH 100,Maybe,,
DG5C_M10_S19_5_396_Scopelogadus bispinosus,396,1,Melamphaidae,Scopelogadus bispinosus,2021-10-11,DG5C,PRZ,Day,S19,5,0-70,ETOH 100,Maybe,,
DG5B_M10_S13_5_899_Scopelogadus bispinosus,899,1,Melamphaidae,Scopelogadus bispinosus,2021-04-15,DG5B,PRZ,Day,S13,5,0-70,ETOH 100,Maybe,,
DG5C_M10_S22_4_530_Vinciguerria lucetia,530,15,Phosichthyidae,Vinciguerria lucetia,2021-10-15,DG5C,CTA,Day,S22,4,70-450,10% formalin,OMZ,,
DG5C_M10_S23_3_583_Vinciguerria lucetia,583,2,Phosichthyidae,Vinciguerria lucetia,2021-10-16,DG5C,CTA,Day,S23,3,450-700,10% formalin,OMZ,,
DG5C_M10_S23_4_595_Vinciguerria lucetia,595,7,Phosichthyidae,Vinciguerria lucetia,2021-10-16,DG5C,CTA,Day,S23,4,70-450,10% formalin,OMZ,,
DG5B_M10_S9_5_618_Vinciguerria lucetia,618,3,Phosichthyidae,Vinciguerria lucetia,2021-04-03,DG5B,CTA,Night,S9,5,0-70,10% formalin,OMZ,,
DG5B_M10_S10_4_674_Vinciguerria lucetia,674,11,Phosichthyidae,Vinciguerria lucetia,2021-04-07,DG5B,CTA,Day,S10,4,70-450,10% formalin,OMZ,,
DG5C_M10_S25_4_736_Vinciguerria lucetia,736,1,Phosichthyidae,Vinciguerria lucetia,2021-10-18,DG5C,CTA,Night,S25,4,70-450,10% formalin,OMZ,,
DG5C_M10_S25_5_742_Vinciguerria lucetia,742,7,Phosichthyidae,Vinciguerria lucetia,2021-10-18,DG5C,CTA,Night,S25,5,0-70,10% formalin,OMZ,,
DG5B_M10_S11_4_747_Vinciguerria lucetia,747,1,Phosichthyidae,Vinciguerria lucetia,2021-04-08,DG5B,CTA,Day,S11,4,70-450,10% formalin,OMZ,,
DG5B_M10_S11_4_751_Vinciguerria lucetia,751,15,Phosichthyidae,Vinciguerria lucetia,2021-04-08,DG5B,CTA,Day,S11,4,70-450,10% formalin,OMZ,,
DG5C_M10_S26_4_752_Vinciguerria lucetia,752,2,Phosichthyidae,Vinciguerria lucetia,2021-10-19,DG5C,CTA,Night,S26,4,70-450,10% formalin,OMZ,,
DG5C_M10_S26_5_762_Vinciguerria lucetia,762,17,Phosichthyidae,Vinciguerria lucetia,2021-10-19,DG5C,CTA,Night,S26,5,0-70,10% formalin,OMZ,,
DG5B_M10_S12_4_821_Vinciguerria lucetia,821,17,Phosichthyidae,Vinciguerria lucetia,2021-04-09,DG5B,CTA,Day,S12,4,70-450,10% formalin,OMZ,,
DG5C_M10_S27_3_821_Vinciguerria lucetia,821,1,Phosichthyidae,Vinciguerria lucetia,2021-10-19,DG5C,CTA,Night,S27,3,450-700,10% formalin,OMZ,,
DG5C_M10_S27_5_838_Vinciguerria lucetia,838,36,Phosichthyidae,Vinciguerria lucetia,2021-10-19,DG5C,CTA,Night,S27,5,0-70,10% formalin,OMZ,,
DG5C_M10_S20_1_413_Vinciguerria lucetia,413,1,Phosichthyidae,Vinciguerria lucetia,2021-10-14,DG5C,CTA,Day,S20,1,1000-1500,ETOH 100,OMZ,,
DG5C_M10_S20_4_458_Vinciguerria lucetia,458,34,Phosichthyidae,Vinciguerria lucetia,2021-10-14,DG5C,CTA,Day,S20,4,70-450,ETOH 100,OMZ,,
DG5B_M10_S7_4_468_Vinciguerria lucetia,468,2,Phosichthyidae,Vinciguerria lucetia,2021-03-31,DG5B,CTA,Night,S7,4,70-450,ETOH 100,OMZ,,
DG5B_M10_S7_5_487_Vinciguerria lucetia,487,1,Phosichthyidae,Vinciguerria lucetia,2021-03-31,DG5B,CTA,Night,S7,5,0-70,ETOH 100,OMZ,,
DG5B_M10_S8_5_552_Vinciguerria lucetia,552,1,Phosichthyidae,Vinciguerria lucetia,2021-04-02,DG5B,CTA,Night,S8,5,0-70,ETOH 100,OMZ,,
DG5C_M10_S23_2_562_Vinciguerria lucetia,562,1,Phosichthyidae,Vinciguerria lucetia,2021-10-16,DG5C,CTA,Day,S23,2,700-1000,ETOH 100,OMZ,,
DG5C_M10_S23_5_602_Vinciguerria lucetia,602,1,Phosichthyidae,Vinciguerria lucetia,2021-10-16,DG5C,CTA,Day,S23,5,0-70,ETOH 100,OMZ,,
DG5B_M10_S3_4_194_Vinciguerria lucetia,194,2,Phosichthyidae,Vinciguerria lucetia,2021-03-21,DG5B,PRZ,Night,S3,4,70-450,10% formalin,OMZ,,
DG5C_M10_S16_5_198_Vinciguerria lucetia,198,8,Phosichthyidae,Vinciguerria lucetia,2021-10-06,DG5C,PRZ,Night,S16,5,0-70,10% formalin,OMZ,,
DG5B_M10_S4_4_255_Vinciguerria lucetia,255,1,Phosichthyidae,Vinciguerria lucetia,2021-03-23,DG5B,PRZ,Night,S4,4,70-450,10% formalin,OMZ,,
DG5B_M10_S4_5_271_Vinciguerria lucetia,271,5,Phosichthyidae,Vinciguerria lucetia,2021-03-23,DG5B,PRZ,Night,S4,5,0-70,10% formalin,OMZ,,
DG5C_M10_S18_4_316_Vinciguerria lucetia,316,4,Phosichthyidae,Vinciguerria lucetia,2021-10-10,DG5C,PRZ,Day,S18,4,70-450,10% formalin,OMZ,,
DG5B_M10_S5_5_347_Vinciguerria lucetia,347,1,Phosichthyidae,Vinciguerria lucetia,2021-03-24,DG5B,PRZ,Night,S5,5,0-70,10% formalin,OMZ,,
DG5C_M10_S19_4_381_Vinciguerria lucetia,381,43,Phosichthyidae,Vinciguerria lucetia,2021-10-11,DG5C,PRZ,Day,S19,4,70-450,10% formalin,OMZ,,
DG5C_M10_S19_5_401_Vinciguerria lucetia,401,4,Phosichthyidae,Vinciguerria lucetia,2021-10-11,DG5C,PRZ,Day,S19,5,0-70,10% formalin,OMZ,,
DG5B_M10_S6_4_412_Vinciguerria lucetia,412,2,Phosichthyidae,Vinciguerria lucetia,2021-03-27,DG5B,PRZ,Day,S6,4,70-450,10% formalin,OMZ,,
DG5B_M10_S13_2_875_Vinciguerria lucetia,875,3,Phosichthyidae,Vinciguerria lucetia,2021-04-15,DG5B,PRZ,Day,S13,2,700-1000,10% formalin,OMZ,,
DG5B_M10_S13_4_896_Vinciguerria lucetia,896,217,Phosichthyidae,Vinciguerria lucetia,2021-04-15,DG5B,PRZ,Day,S13,4,70-450,10% formalin,OMZ,,
DG5B_M10_S1_3_52_Vinciguerria lucetia,52,7,Phosichthyidae,Vinciguerria lucetia,2021-03-17,DG5B,PRZ,Day,S1,3,450-700,ETOH 100,OMZ,,
DG5C_M10_S14_4_52_Vinciguerria lucetia,52,8,Phosichthyidae,Vinciguerria lucetia,2021-10-04,DG5C,PRZ,Night,S14,4,70-450,ETOH 100,OMZ,,
DG5C_M10_S14_5_61_Vinciguerria lucetia,61,24,Phosichthyidae,Vinciguerria lucetia,2021-10-04,DG5C,PRZ,Night,S14,5,0-70,ETOH 100,OMZ,,
DG5B_M10_S1_4_67_Vinciguerria lucetia,67,4,Phosichthyidae,Vinciguerria lucetia,2021-03-17,DG5B,PRZ,Day,S1,4,70-450,ETOH 100,OMZ,,
DG5C_M10_S15_5_127_Vinciguerria lucetia,127,10,Phosichthyidae,Vinciguerria lucetia,2021-10-05,DG5C,PRZ,Night,S15,5,0-70,ETOH 100,OMZ,,
DG5B_M10_S2_4_130_Vinciguerria lucetia,130,1,Phosichthyidae,Vinciguerria lucetia,2021-03-17,DG5B,PRZ,Day,S2,4,70-450,ETOH 100,OMZ,,
DG5C_M10_S17_4_252_Vinciguerria lucetia,252,23,Phosichthyidae,Vinciguerria lucetia,2021-10-09,DG5C,PRZ,Day,S17,4,70-450,ETOH 100,OMZ,,
DG5C_M10_S17_5_262_Vinciguerria lucetia,262,2,Phosichthyidae,Vinciguerria lucetia,2021-10-09,DG5C,PRZ,Day,S17,5,0-70,ETOH 100,OMZ,,